active,attribute_id,category_id
TRUE,50,4000340
TRUE,50,4000341
TRUE,50,4000342
TRUE,50,4000343
TRUE,50,4000344
TRUE,50,4000345
TRUE,50,4000346
TRUE,50,4000347
TRUE,50,4000348
TRUE,50,4000349
TRUE,50,4000350
TRUE,50,4000351
TRUE,50,4000352
TRUE,50,4000353
TRUE,50,4000354
TRUE,50,4000355
TRUE,50,4000356
TRUE,50,4000357
TRUE,50,4000358
TRUE,50,4000359
TRUE,50,4000360
TRUE,50,4000361
TRUE,50,4000362
TRUE,50,4000363
TRUE,50,4000364
TRUE,50,4000365
TRUE,50,4000366
TRUE,50,4000367
TRUE,50,4000368
TRUE,50,4000369
TRUE,50,4000370
TRUE,50,4000371
TRUE,50,4000372
TRUE,50,4000373
TRUE,50,4000374
TRUE,50,4000375
TRUE,50,4000376
TRUE,50,4000377
TRUE,50,4000378
TRUE,50,4000379
TRUE,50,4000380
TRUE,50,4000381
TRUE,50,4000382
TRUE,50,4000383
TRUE,50,4000384
TRUE,50,4000385
TRUE,50,4000386
TRUE,50,4000387
TRUE,50,4000388
TRUE,50,4000389
TRUE,50,4000390
TRUE,50,4000391
TRUE,50,4000392
TRUE,50,4000393
TRUE,50,4000394
TRUE,50,4000395
TRUE,50,4000396
TRUE,50,4000397
TRUE,50,4000398
TRUE,50,4000399
TRUE,50,4000400
TRUE,50,4000401
TRUE,50,4000402
TRUE,50,4000403
TRUE,50,4000404
TRUE,50,4000405
TRUE,50,4000406
TRUE,50,4000407
TRUE,50,4000408
TRUE,50,4000409
TRUE,50,4000410
TRUE,50,4000411
TRUE,50,4000412
TRUE,50,4000413
TRUE,50,4000414
TRUE,50,4000415
TRUE,50,4000416
TRUE,50,4000417
TRUE,50,4000418
TRUE,50,4000419
TRUE,50,4000420
TRUE,50,4000421
TRUE,50,4000422
TRUE,50,4000423
TRUE,50,4000424
TRUE,50,4000425
TRUE,50,4000426
TRUE,50,4000427
TRUE,50,4000428
TRUE,50,4000429
TRUE,50,4000430
TRUE,50,4000431
TRUE,50,4000432
TRUE,50,4000433
TRUE,50,4000434
TRUE,50,4000435
TRUE,50,4000436
TRUE,50,4000437
TRUE,50,4000438
TRUE,50,4000439
TRUE,50,4000440
TRUE,50,4000441
TRUE,50,4000442
TRUE,50,4000443
TRUE,50,4000444
TRUE,50,4000445
TRUE,50,4000446
TRUE,117,15000176
TRUE,117,15000177
TRUE,117,15000178
TRUE,117,15000179
TRUE,117,15000180
TRUE,117,15000181
TRUE,117,15000182
TRUE,117,15000183
TRUE,117,15000184
TRUE,117,15000185
TRUE,117,15000186
TRUE,117,15000187
TRUE,117,15000188
TRUE,117,15000189
TRUE,117,15000190
TRUE,117,15000191
TRUE,117,15000192
TRUE,117,15000193
TRUE,117,15000194
TRUE,117,15000195
TRUE,117,15000196
TRUE,117,15000197
TRUE,117,15000198
TRUE,118,2000011
TRUE,118,2000012
TRUE,118,2000014
TRUE,118,2000015
TRUE,118,2000018
TRUE,118,2000019
TRUE,118,2000021
TRUE,118,2000022
TRUE,118,2000023
TRUE,118,2000025
TRUE,118,2000026
TRUE,118,2000087
TRUE,118,2000169
TRUE,118,4000233
TRUE,118,6000000
TRUE,118,6000001
TRUE,118,6000002
TRUE,118,6000003
TRUE,118,6000004
TRUE,118,6000005
TRUE,118,6000006
TRUE,118,6000007
TRUE,118,6000008
TRUE,118,6000009
TRUE,118,6000010
TRUE,118,6000012
TRUE,118,6000013
TRUE,118,6000015
TRUE,118,6000016
TRUE,118,6000017
TRUE,118,6000018
TRUE,118,6000019
TRUE,118,6000020
TRUE,118,6000021
TRUE,118,6000022
TRUE,118,6000023
TRUE,118,6000024
TRUE,118,6000025
TRUE,118,6000031
TRUE,118,6000033
TRUE,118,6000039
TRUE,118,6000040
TRUE,118,6000043
TRUE,118,6000044
TRUE,118,6000045
TRUE,118,6000047
TRUE,118,6000048
TRUE,118,6000053
TRUE,118,6000056
TRUE,118,6000057
TRUE,118,6000059
TRUE,118,6000060
TRUE,118,6000061
TRUE,118,6000062
TRUE,118,6000064
TRUE,118,6000068
